x,c_err,q_err
1.509479e+05,0.000000e+00,1.312295e-03
9.627514e+05,0.000000e+00,1.174706e-03
2.238044e+05,0.000000e+00,1.652212e-05
9.813768e+05,0.000000e+00,1.740388e-03
2.729170e+05,6.081707e-08,9.013697e-04
2.474968e+05,0.000000e+00,1.716500e-03
5.737823e+05,0.000000e+00,9.223036e-04
1.093268e+05,0.000000e+00,1.571178e-03
6.247224e+05,0.000000e+00,1.525039e-03
7.429120e+05,0.000000e+00,1.383001e-03
4.811729e+04,0.000000e+00,1.079477e-03
4.927450e+05,0.000000e+00,8.122835e-04
2.796081e+05,0.000000e+00,5.562388e-04
6.209099e+05,0.000000e+00,1.490841e-03
1.289824e+05,0.000000e+00,3.838952e-04
1.419501e+05,0.000000e+00,8.376563e-04
9.852911e+05,0.000000e+00,1.728833e-03
4.526852e+05,0.000000e+00,1.448177e-03
8.958699e+05,0.000000e+00,1.873189e-05
6.370725e+05,0.000000e+00,1.619857e-03
5.704161e+04,0.000000e+00,1.258961e-04
7.761509e+05,0.000000e+00,1.001921e-03
7.251489e+05,0.000000e+00,1.543520e-03
9.028529e+05,0.000000e+00,5.088344e-05
5.172436e+05,0.000000e+00,3.617779e-04
3.577102e+04,8.807159e-08,9.020292e-04
6.497621e+05,0.000000e+00,1.691276e-03
3.547775e+05,6.934070e-08,6.832139e-04
2.052145e+05,0.000000e+00,4.430950e-04
8.150969e+05,0.000000e+00,5.114308e-04
9.440358e+05,0.000000e+00,6.367011e-04
3.561624e+05,0.000000e+00,7.127533e-04
7.778484e+05,0.000000e+00,9.806330e-04
1.678401e+05,0.000000e+00,1.748058e-03
3.375392e+05,0.000000e+00,3.303299e-04
5.076535e+04,1.049189e-07,5.459981e-04
4.153369e+05,7.502576e-08,1.582068e-03
9.113215e+05,0.000000e+00,1.133564e-04
1.600922e+05,0.000000e+00,1.641090e-03
4.005931e+04,9.320127e-08,1.644630e-03
6.542335e+05,0.000000e+00,1.709703e-03
2.082095e+05,1.062406e-07,3.104350e-04
5.328043e+05,0.000000e+00,3.522237e-04
9.338416e+05,0.000000e+00,4.210819e-04
8.291194e+05,0.000000e+00,3.501283e-04
6.617868e+05,9.470419e-08,1.732992e-03
7.579173e+04,0.000000e+00,1.352488e-05
8.144106e+05,0.000000e+00,5.196201e-04
1.144719e+05,0.000000e+00,1.387468e-03
9.716616e+05,0.000000e+00,1.501670e-03
4.514830e+05,0.000000e+00,1.460802e-03
1.715135e+05,0.000000e+00,1.739699e-03
7.478125e+05,0.000000e+00,1.332488e-03
1.766319e+05,0.000000e+00,1.666732e-03
7.436651e+04,0.000000e+00,6.577920e-05
2.650561e+05,0.000000e+00,1.447246e-03
2.124030e+05,0.000000e+00,1.539828e-04
7.241286e+05,0.000000e+00,1.551647e-03
6.198336e+05,0.000000e+00,1.480749e-03
4.176174e+05,7.523145e-08,1.590468e-03
5.392255e+05,0.000000e+00,4.355515e-04
5.638694e+05,0.000000e+00,7.815143e-04
7.737799e+05,0.000000e+00,1.031418e-03
3.170738e+05,6.555266e-08,3.788944e-05
7.317096e+05,9.958170e-08,1.488647e-03
1.113191e+05,7.768281e-08,1.518466e-03
3.678392e+05,0.000000e+00,9.561411e-04
1.470464e+05,0.000000e+00,1.118980e-03
2.264056e+04,0.000000e+00,8.412949e-04
5.279314e+05,0.000000e+00,2.924141e-04
1.871057e+05,0.000000e+00,1.325982e-03
6.768741e+05,0.000000e+00,1.749283e-03
7.361409e+05,0.000000e+00,1.448600e-03
7.199100e+05,0.000000e+00,1.583272e-03
6.107158e+05,9.097661e-08,1.389213e-03
5.652602e+05,0.000000e+00,8.013831e-04
3.816967e+05,0.000000e+00,1.214928e-03
6.865074e+05,9.645679e-08,1.738827e-03
3.796708e+05,0.000000e+00,1.180137e-03
4.961687e+05,0.000000e+00,7.472849e-04
6.581690e+05,9.444497e-08,1.723149e-03
8.311539e+05,0.000000e+00,3.282697e-04
6.676822e+05,0.000000e+00,1.744309e-03
4.059815e+05,7.417597e-08,1.524613e-03
7.785787e+03,0.000000e+00,7.069705e-04
7.420487e+05,0.000000e+00,1.391624e-03
6.710376e+05,9.536380e-08,1.747828e-03
2.201887e+05,0.000000e+00,2.294336e-06
4.661773e+05,0.000000e+00,1.273987e-03
2.908713e+05,0.000000e+00,1.833970e-04
6.378062e+05,0.000000e+00,1.624880e-03
5.402815e+03,6.845578e-08,4.938400e-04
8.547407e+05,1.076285e-07,1.149473e-04
4.115861e+05,0.000000e+00,1.563407e-03
3.224767e+05,0.000000e+00,9.228789e-05
5.864502e+05,8.915089e-08,1.096110e-03
5.229051e+05,0.000000e+00,2.708150e-04
6.903159e+05,0.000000e+00,1.730295e-03
7.334966e+05,0.000000e+00,1.472816e-03
5.455457e+05,0.000000e+00,5.215026e-04
2.182473e+05,0.000000e+00,1.925253e-05
9.206023e+05,0.000000e+00,2.139021e-04
2.224198e+05,0.000000e+00,3.513798e-06
9.543881e+05,0.000000e+00,9.102899e-04
6.405124e+05,9.316953e-08,1.641927e-03
8.331356e+05,0.000000e+00,3.074089e-04
5.196484e+05,0.000000e+00,3.221685e-04
2.220907e+04,6.939614e-08,6.953494e-04
5.196430e+05,0.000000e+00,3.221668e-04
8.993192e+05,0.000000e+00,3.245745e-05
5.183777e+05,8.381723e-08,3.428963e-04
1.778120e+05,0.000000e+00,1.640285e-03
7.304731e+05,0.000000e+00,1.499428e-03
1.860599e+05,0.000000e+00,1.369473e-03
5.837936e+05,0.000000e+00,1.060447e-03
7.382588e+05,1.000264e-07,1.428676e-03
9.281086e+05,0.000000e+00,3.216538e-04
2.548312e+05,0.000000e+00,1.674988e-03
9.584476e+05,0.000000e+00,1.033717e-03
3.942858e+05,0.000000e+00,1.402418e-03
5.457025e+05,0.000000e+00,5.236415e-04
5.962538e+05,0.000000e+00,1.222095e-03
3.996887e+05,7.359886e-08,1.465500e-03
4.004432e+05,7.366829e-08,1.473440e-03
7.839799e+03,0.000000e+00,6.414700e-04
7.221654e+05,0.000000e+00,1.566558e-03
9.868934e+05,0.000000e+00,1.724340e-03
5.307449e+05,0.000000e+00,3.265230e-04
4.124812e+05,0.000000e+00,1.568470e-03
7.203900e+05,0.000000e+00,1.579749e-03
7.629060e+04,6.430958e-08,4.758909e-06
6.307286e+05,0.000000e+00,1.574142e-03
6.409923e+05,0.000000e+00,1.644872e-03
2.987104e+05,6.362610e-08,5.071000e-05
5.851166e+05,0.000000e+00,1.078389e-03
2.815047e+05,6.176649e-08,4.764050e-04
1.318459e+05,8.454218e-08,2.859216e-04
1.047650e+05,0.000000e+00,1.594645e-03
3.037138e+05,6.415676e-08,1.071418e-05
6.514889e+05,0.000000e+00,1.698878e-03
4.084161e+03,1.190369e-07,1.688300e-03
8.220915e+05,0.000000e+00,4.288615e-04
8.293009e+05,0.000000e+00,3.481524e-04
7.345572e+05,0.000000e+00,1.463204e-03
8.151380e+03,0.000000e+00,2.896709e-04
4.130945e+05,0.000000e+00,1.571656e-03
4.728160e+05,0.000000e+00,1.170157e-03
9.362599e+05,1.126441e-07,4.675855e-04
6.679258e+05,9.514243e-08,1.744532e-03
4.312636e+05,0.000000e+00,1.594380e-03
3.305458e+05,0.000000e+00,2.070169e-04
2.136283e+05,0.000000e+00,1.166538e-04
2.751731e+04,0.000000e+00,1.554411e-03
7.302345e+05,0.000000e+00,1.501570e-03
6.140714e+05,0.000000e+00,1.424223e-03
3.535711e+04,0.000000e+00,8.078337e-04
4.523999e+05,7.830174e-08,1.451166e-03
6.009649e+05,0.000000e+00,1.279167e-03
5.661020e+05,8.759059e-08,8.134539e-04
8.648811e+05,1.082651e-07,5.283335e-05
3.213549e+05,6.599372e-08,7.932445e-05
6.423926e+05,9.330618e-08,1.653199e-03
4.956097e+05,0.000000e+00,7.579278e-04
9.623472e+05,0.000000e+00,1.160870e-03
9.411030e+05,0.000000e+00,5.694185e-04
8.072627e+04,0.000000e+00,9.744293e-05
2.438519e+05,1.149750e-07,1.653685e-03
7.294891e+04,0.000000e+00,1.628731e-04
1.854912e+05,0.000000e+00,1.392448e-03
5.475657e+05,8.614465e-08,5.495167e-04
7.244378e+05,9.908564e-08,1.549105e-03
1.895754e+05,0.000000e+00,1.216703e-03
3.696572e+05,0.000000e+00,9.924753e-04
5.537388e+05,0.000000e+00,6.365489e-04
9.241326e+05,1.119122e-07,2.614268e-04
3.778086e+05,0.000000e+00,1.147043e-03
9.668333e+05,0.000000e+00,1.318562e-03
3.969486e+05,0.000000e+00,1.434944e-03
3.140685e+05,6.524126e-08,1.722369e-05
6.347591e+05,9.275015e-08,1.604021e-03
8.282122e+05,0.000000e+00,3.600015e-04
6.446143e+05,9.346738e-08,1.665682e-03
8.483873e+05,1.072278e-07,1.640585e-04
8.557295e+05,0.000000e+00,1.081215e-04
3.748489e+05,0.000000e+00,1.092720e-03
4.624588e+05,0.000000e+00,1.327322e-03
8.910866e+05,0.000000e+00,5.824330e-06
8.272488e+05,0.000000e+00,3.705922e-04
6.342364e+04,1.172724e-07,1.677347e-03
4.571886e+05,0.000000e+00,1.396169e-03
6.921299e+05,0.000000e+00,1.725303e-03
3.847785e+05,0.000000e+00,1.265678e-03
9.958126e+04,7.347320e-08,1.450655e-03
1.877395e+05,0.000000e+00,1.298768e-03
3.471258e+05,0.000000e+00,5.216869e-04
4.068426e+04,0.000000e+00,1.696482e-03
2.684658e+05,6.031906e-08,1.190397e-03
5.909778e+05,0.000000e+00,1.155283e-03
1.136332e+05,0.000000e+00,1.427584e-03
4.539570e+05,0.000000e+00,1.434131e-03
1.385434e+05,0.000000e+00,6.427785e-04
8.380710e+05,0.000000e+00,2.574824e-04
6.435324e+05,9.338891e-08,1.659708e-03
5.082007e+05,0.000000e+00,5.210966e-04
3.918098e+05,0.000000e+00,1.369807e-03
5.676651e+05,0.000000e+00,8.357146e-04
8.860092e+05,1.095795e-07,2.191590e-07
3.586431e+05,0.000000e+00,7.653580e-04
9.646136e+05,0.000000e+00,1.239070e-03
2.000778e+05,0.000000e+00,6.949613e-04
9.934021e+05,0.000000e+00,1.708435e-03
7.928258e+05,0.000000e+00,7.902817e-04
8.446921e+05,0.000000e+00,1.956920e-04
8.417894e+05,0.000000e+00,2.219512e-04
6.485553e+05,9.375267e-08,1.685673e-03
2.195410e+05,0.000000e+00,6.218316e-06
3.042482e+05,6.421318e-08,8.219287e-06
5.396420e+05,0.000000e+00,4.411074e-04
4.678971e+04,1.007269e-07,1.323652e-03
3.676719e+05,7.058954e-08,9.527470e-04
9.968306e+05,0.000000e+00,1.701268e-03
7.389196e+05,0.000000e+00,1.422311e-03
7.524504e+05,0.000000e+00,1.282487e-03
9.641184e+04,0.000000e+00,1.279468e-03
9.266591e+05,0.000000e+00,2.989895e-04
9.957616e+04,7.347131e-08,1.450471e-03
1.370961e+05,0.000000e+00,5.609621e-04
1.951248e+05,1.028481e-07,9.472313e-04
6.905539e+05,0.000000e+00,1.729626e-03
2.507293e+05,0.000000e+00,1.690716e-03
6.490818e+05,0.000000e+00,1.688139e-03
8.290972e+05,0.000000e+00,3.503356e-04
8.880027e+04,6.938208e-08,6.922944e-04
2.926142e+05,0.000000e+00,1.458466e-04
3.372979e+05,0.000000e+00,3.257495e-04
4.806100e+05,8.070614e-08,1.036590e-03
8.602792e+05,0.000000e+00,7.839105e-05
2.233071e+05,0.000000e+00,1.056240e-05
8.392531e+05,0.000000e+00,2.459325e-04
8.248929e+05,1.057326e-07,3.969202e-04
4.233849e+05,0.000000e+00,1.601792e-03
8.326552e+05,0.000000e+00,3.124192e-04
6.177188e+05,0.000000e+00,1.460562e-03
2.680770e+05,0.000000e+00,1.218105e-03
6.744447e+05,0.000000e+00,1.749391e-03
2.662741e+05,6.007235e-08,1.351868e-03
4.876180e+05,0.000000e+00,9.087678e-04
9.786929e+05,1.151684e-07,1.749063e-03
8.059161e+05,0.000000e+00,6.243387e-04
5.344077e+05,0.000000e+00,3.725823e-04
3.463648e+05,0.000000e+00,5.059047e-04
8.027466e+05,0.000000e+00,6.642055e-04
2.733272e+05,6.086275e-08,8.771539e-04
9.881520e+04,7.319004e-08,1.414690e-03
8.991585e+05,0.000000e+00,3.168182e-05
1.999863e+05,0.000000e+00,6.995921e-04
1.983913e+05,1.037054e-07,7.809019e-04
3.625459e+04,0.000000e+00,1.009893e-03
3.951111e+05,0.000000e+00,1.412813e-03
8.889452e+05,0.000000e+00,2.634261e-06
2.869839e+05,6.236471e-08,2.856303e-04
4.419293e+04,0.000000e+00,1.663770e-03
7.180425e+05,9.864730e-08,1.596508e-03
3.757842e+05,0.000000e+00,1.110067e-03
3.368072e+05,0.000000e+00,3.165943e-04
5.534038e+04,0.000000e+00,0.000000e+00
8.563942e+05,0.000000e+00,1.034233e-04
1.970864e+05,0.000000e+00,8.475832e-04
2.786475e+05,0.000000e+00,5.996510e-04
6.956473e+05,0.000000e+00,1.714146e-03
2.197934e+04,0.000000e+00,6.173226e-04
7.020324e+05,9.754135e-08,1.688538e-03
5.283026e+05,0.000000e+00,2.968322e-04
6.396981e+05,0.000000e+00,1.636972e-03
9.701093e+05,0.000000e+00,1.441075e-03
2.027473e+05,0.000000e+00,5.614061e-04
9.059722e+05,0.000000e+00,7.080573e-05
4.577273e+05,0.000000e+00,1.389509e-03
1.814402e+05,0.000000e+00,1.538618e-03
7.118882e+05,0.000000e+00,1.636406e-03
9.921350e+05,0.000000e+00,1.711288e-03
5.278050e+05,0.000000e+00,2.908567e-04
5.146348e+05,0.000000e+00,4.062960e-04
2.654622e+05,0.000000e+00,1.415004e-03
6.266202e+05,0.000000e+00,1.541085e-03
4.137933e+05,0.000000e+00,1.575157e-03
4.654485e+05,0.000000e+00,1.284745e-03
8.250116e+05,1.057402e-07,3.955741e-04
4.500479e+05,0.000000e+00,1.475270e-03
8.605596e+05,0.000000e+00,7.689190e-05
7.139568e+05,0.000000e+00,1.623633e-03
7.370318e+05,0.000000e+00,1.440282e-03
9.047525e+05,1.107325e-07,6.256385e-05
4.319992e+05,0.000000e+00,1.592372e-03
1.128160e+05,7.820336e-08,1.463107e-03
2.415597e+05,0.000000e+00,1.296872e-03
4.873396e+05,0.000000e+00,9.138722e-04
9.692101e+05,1.146091e-07,1.406827e-03
4.386461e+05,0.000000e+00,1.564020e-03
7.659871e+05,0.000000e+00,1.126468e-03
6.648574e+05,0.000000e+00,1.739666e-03
4.606255e+05,7.901037e-08,1.352184e-03
4.680195e+05,0.000000e+00,1.246238e-03
1.931600e+05,0.000000e+00,1.045496e-03
1.003236e+05,7.374653e-08,1.482158e-03
4.381288e+05,0.000000e+00,1.566873e-03
3.959073e+05,7.324988e-08,1.422513e-03
6.295742e+03,0.000000e+00,1.497955e-03
8.958561e+05,0.000000e+00,1.851137e-05
5.773474e+05,8.845630e-08,9.721348e-04
7.181840e+05,0.000000e+00,1.595481e-03
8.879911e+05,0.000000e+00,1.535828e-06
1.051525e+05,7.550052e-08,1.598119e-03
2.328188e+05,0.000000e+00,3.745543e-04
1.534533e+05,0.000000e+00,1.421644e-03
7.317727e+05,0.000000e+00,1.488113e-03
6.466122e+05,0.000000e+00,1.676032e-03
6.189018e+05,0.000000e+00,1.471943e-03
5.567842e+05,0.000000e+00,6.799930e-04
9.666012e+04,7.238754e-08,1.294868e-03
4.794614e+05,0.000000e+00,1.056873e-03
2.707410e+05,6.057412e-08,1.036363e-03
8.336919e+05,0.000000e+00,3.016653e-04
3.842139e+05,0.000000e+00,1.256595e-03
